Portrait,Nom,Naissance,Mort,Début du règne,Fin du règne
80px|Clovis,Clovis {{Ier}},466,511,481,511
80px|Clodomir,Clodomir,495,524,511,524
80px|Thierry Ier,Thierry {{Ier}},485/490,534,511,534
80px|Thibert Ier,Thibert {{Ier}},504,548,534,548
