Couple de matériaux,Non lubrifié,Lubrifié
Bois/bois,0,65,0,2
Métal/bois,0,5-0,6,0,1
Acier/fonte,0,19,0,1
Acier/acier,0,18,0,12
Acier/bronze,0,11,0,1
