Name,Producer,Sold mixed with,,,,,,Sold in,,,D/C*
,,Cola,Ginger Ale,Lemonade,Citrus,Milk,Stimulant,US,Australia,UK,
Bacardi Breezer,Bacardi,{{no}},{{no}},{{no}},{{yes}},{{no}},{{no}},{{no}},{{yes}},{{yes}},{{no}}
Bacardi & X,Bacardi,{{yes}},{{no}},{{no}},{{no}},{{no}},{{no}},{{no}},{{yes}},{{yes}},{{no}}
Bundaberg & X,Bundaberg Rum,{{yes}},{{yes}},{{no}},{{no}},{{no}},{{no}},{{no}},{{yes}},{{no}},{{no}}
Jewel Isle Rum Punch,Jewel Isle Productions,{{no}},{{no}},{{no}},{{yes}},{{no}},{{no}},{{no}},{{no}},{{yes}},{{no}}
Red Square,Halewood International,{{no}},{{no}},{{no}},{{yes}},{{no}},{{no}},{{yes}},{{no}},{{yes}},{{no}}
