! OMF,AAF,MIDI,WAV,MP3,AAC,Ogg,REX2,AIFF,FLAC,Others
SoX,{{Unk}},{{Unk}},{{Unk}},{{Yes}},External LAME,{{Unk}},{{Yes}},{{Unk}},{{Yes}},{{Yes}}
SpectraLayers,{{Unk}},{{Unk}},{{Unk}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Unk}},{{Yes}},{{Yes}}
Studio One,{{No}},{{No}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{Yes}},{{Yes}},{{Yes}}
Sweep,{{No}},{{No}},{{No}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{No}},{{Yes}},{{Yes}}
Total Recorder,{{No}},{{No}},{{No}},{{No}},{{Yes}},{{No}},{{Yes}},{{No}},{{No}},{{Yes}}
Tracktion,{{No}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}}
Traverso,{{No}},{{No}},{{Unk}},{{Yes}},{{Yes}},{{Unk}},{{Yes}},{{Unk}},{{No}},{{Yes}}
WaveLab,{{No}},{{No}},{{partial|Controllers}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{Yes}}
WavePad,{{No}},{{No}},{{partial|Import}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{Yes}}
WaveSurfer,{{No}},{{No}},{{No}},{{Yes}},{{Partial|Import}},{{No}},{{Partial|With plugin}},{{No}},{{Yes}},{{No}}
! OMF,AAF,MIDI,WAV,MP3,AAC,Ogg,REX2,AIFF,FLAC,Others
