Description,Spanish,,Portuguese,
,Spelling,Pronunciation,Spelling,Pronunciation
palatal "l",ll,{{IPA|ʎ}} (~ {{IPA|ʝ}})[66],lh,{{IPA|ʎ}}
palatal "n",ñ,{{IPA|ɲ}},nh,"{{IPA|ɲ}} (EP), {{IPA|j̃}} (BP)"
palatal "y",y,{{IPA|ʝ}},i,{{IPA|j}}
