Esperanto,a,b,c,ĉ,d,e,f,g,ĝ,h,ĥ,i,j,ĵ,k,l,m,n,o,p,-,r,s,ŝ,t,u,ŭ,v,-,-,z
Esperanto1894,a,b,z,-,d,e,f,g,-,h,-,i,j,-,k,l,m,n,o,p,-,r,s,c,t,u,-,v,-,-,-
Ido,a,b,c,ch,d,e,f,g,j,h,-,i,y,j,k,l,m,n,o,p,qu,r,s,sh,t,u,-,v,w,x,z
IPA phonemes,a,b,{{IPA link|t͡s}},{{IPA link|t͡ʃ}},d,e,f,g,{{IPA link|d͡ʒ}},h,{{IPAslink|x}},i,j,{{IPA link|ʒ}},k,l,m,n,o,p,"/kw/,/kv/",r,s,ʃ,t,u,{{IPA link|u̯}} (in diphthongs),ʋ,{{IPA link|w}},"/ks/,/ɡz/",{{IPA link|z}}
