| {{sort|00000|}},{{sort|00000|Server OS support}},{{sort|00000|Features}},,,,,,,,,,,,{{sort|00000|Storage}},,| {{sort|00000|Users}}
NetMail,{{yes}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{dunno}},{{yes}},{{dunno}},{{yes}},{{yes}},{{no}},{{dunno}},{{yes}},{{no}},{{no}}
OpenSMTPD,{{yes}},{{yes}},{{no}},{{no}},{{no}},{{yes}},{{no}}[16],{{no}},{{yes}},{{yes}},{{no}},{{no}},{{dunno}},{{dunno|possible through custom backends}},{{yes}},{{no}}
Open-Xchange,{{yes}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{dunno}},{{yes}},{{dunno}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{no}},{{no}}
Oracle Communications Messaging Server,{{yes}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{dunno}},{{yes}},{{dunno}},{{yes}},{{yes}},{{no}},{{dunno}},{{yes}},{{yes}},{{no}}
Postfix,{{yes}},{{yes}},"{{no|Dovecot, UW IMAP}}","{{no|Dovecot, UW IMAP}}","{{no|Dovecot, UW IMAP}}",{{yes}},{{yes}},{{no}},{{Yes}},{{yes}},{{no}},{{no}},{{no}},{{yes}},{{yes}},{{yes}}
qmail,{{yes}},{{yes}},{{yes}},"{{no|Dovecot, UW IMAP}}","{{no|Dovecot, UW IMAP}}",{{no}},{{no}},"{{no|Dovecot, UW IMAP}}",via Qsmtp,{{no}},{{no}},{{no}},{{dunno}},{{yes|(cdb)}},{{yes}},{{no}}
Qpopper,{{yes}},{{no}},{{yes}},{{no}},{{no}},{{no}},{{dunno}},{{yes}},{{dunno}},{{yes}},{{no}},{{no}},{{dunno}},{{no}},{{yes}},{{yes}}
Scalix,{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}} (via Stunnel),{{dunno}},{{yes}} (via Stunnel),{{dunno}},{{yes}} (via Stunnel),{{yes}},{{yes}},{{dunno}},{{yes}},{{yes}},{{no}}
Sendmail,{{yes}},{{yes}},"{{no|Dovecot, UW IMAP}}","{{no|Dovecot, UW IMAP}}","{{no|Dovecot, UW IMAP}}",{{yes}},{{dunno}},{{no}},{{yes}},{{yes}},{{no}},{{no}},{{no}},{{Dunno}},{{yes}},{{dunno}}
SparkEngine,{{yes}},{{yes}},{{no}},{{no}},{{no}},{{yes}},{{dunno}},{{no}},{{Dunno}},{{yes}},{{no}},{{no}},{{dunno}},{{yes}},{{yes}},{{yes}}
Synovel Collabsuite,{{yes}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{dunno}},{{yes}},{{dunno}},{{yes}},{{yes}},{{no}},{{dunno}},{{yes}},{{yes}},{{Dunno}}
UW IMAP,{{yes}},{{no}},{{yes}},{{yes}},{{yes}},{{no}},{{no}},{{yes}},{{yes}},{{yes}},WebPine,{{no}},{{no}},{{yes}} (Indexes),{{yes}},{{no}}
WinGate,{{no}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{no}},{{yes}},{{yes}},{{no}},{{dunno}},{{no}},{{yes}},{{no}}
Zarafa,{{yes}},{{yes2|External[10]}},{{yes}},{{yes}},{{yes}},{{yes2|External[10]}},{{no}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{no}},{{yes}},{{yes}},{{no}}
Zentyal,{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{no}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{yes}},{{no}}
Zimbra,{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{no}}
Mail server,Linux/Unix,SMTP,POP3,IMAP,IMAP IDLE,SMTP over TLS,DANE,POP over TLS,IPv6,SSL,Webmail,ActiveSync,Sieve,Database,Filesystem,Other
