Name,Producer,Sold mixed with,,,,,,Sold in,,,D/C*
,,Cola,Ginger Ale,Lemonade,Citrus,Milk,Stimulant,US,Australia,UK,
The Black Douglas,Black Douglas{{cn|date=January 2009}},{{yes}},{{yes}},{{no}},{{no}},{{no}},{{no}},{{no}},{{yes}},{{no}},{{no}}
Johnnie Walker,Diageo,{{yes}},{{yes}},{{no}},{{no}},{{no}},{{no}},{{no}},{{yes}},{{no}},{{no}}
