NATO code,OF-10,,OF-9,,OF-8,,OF-7,,OF-6,,OF-5,,OF-4,,OF-3,,OF-2,,OF-1,,,,,,OF(D),,,,,,Student officer,,,,,
Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom (Edit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No equivalent,,,,,
,Field marshal[1],,General,,Lieutenant-general,,Major-general,,Brigadier,,Colonel,,Lieutenant-colonel,,Major,,Captain,,Lieutenant,,,Second lieutenant,,,Officer cadet,,,,,,,,,,,
United States (Edit),,,,,,,,,,,,,,,,,,,,,,,,,Various,,,,,,Various,,,,,
,General of the Army[1],,General,,Lieutenant general,,Major general,,Brigadier general,,Colonel,,Lieutenant colonel,,Major,,Captain,,First lieutenant,,,Second lieutenant,,,Officer candidate,,,,,,Officer cadet,,,,,
NATO code,OF-10,,OF-9,,OF-8,,OF-7,,OF-6,,OF-5,,OF-4,,OF-3,,OF-2,,OF-1,,,,,,OF(D),,,,,,Student officer,,,,,
Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom (Edit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Admiral of the Fleet,,Admiral,,Vice admiral,,Rear admiral,,Commodore,,Captain,,Commander,,Lieutenant commander,,Lieutenant,,Sub lieutenant,,,Officer cadet,,,,,,,,,,,,,,
United States (Edit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Various,,,,,
,Fleet admiral,,Admiral,,Vice admiral,,Rear admiral,,Rear admiral (lower half),,Captain,,Commander,,Lieutenant commander,,Lieutenant,,Lieutenant (junior grade),,,Ensign,,,Midshipman/officer candidate,,,,,,,,,,,
NATO code,OF-10,,OF-9,,OF-8,,OF-7,,OF-6,,OF-5,,OF-4,,OF-3,,OF-2,,OF-1,,,,,,OF(D),,,,,,Student officer,,,,,
Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom (Royal Marines) (Edit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No equivalent,,,,,
,Captain General Royal Marines,,General,,Lieutenant-general,,Major-general,,Brigadier,,Colonel,,Lieutenant-colonel,,Major,,Captain,,Lieutenant,,,Second lieutenant,,,Officer cadet,,,,,,,,,,,
United States (Marine Corps) (Edit),No equivalent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Various,,,,,
,,General,,Lieutenant general,,Major general,,Brigadier general,,Colonel,,Lieutenant colonel,,Major,,Captain,,First lieutenant,,,Second lieutenant,,,Midshipman/officer candidate,,,,,,,,,,,,
NATO code,OF-10,,OF-9,,OF-8,,OF-7,,OF-6,,OF-5,,OF-4,,OF-3,,OF-2,,OF-1,,,,,,OF(D),,,,,,Student officer,,,,,
Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom (Edit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No equivalent,,,,,
,Marshal of the RAF1,,Air chief marshal,,Air marshal,,Air vice-marshal,,Air commodore,,Group captain,,Wing commander,,Squadron leader,,Flight lieutenant,,Flying officer,,,Pilot officer /acting pilot officer,,,Officer cadet,,,,,,,,,,,
United States (Edit),,,,,,,,,,,,,,,,,,,,,,,,,Various,,,,,,Various,,,,,
,General of the Air Force1,,General,,Lieutenant general,,Major general,,Brigadier general,,Colonel,,Lieutenant colonel,,Major,,Captain,,First lieutenant,,,Second lieutenant,,,Officer trainee,,,,,,Officer cadet,,,,,
NATO code,OF-10,,OF-9,,OF-8,,OF-7,,OF-6,,OF-5,,OF-4,,OF-3,,OF-2,,OF-1,,,,,,OF(D),,,,,,Student officer,,,,,
