Name,Producer,Sold mixed with,,,,,,,Sold in,,,D/C*
,,Cola,Ginger Ale,Lemonade,Citrus,Milk,Stimulant,Apple Juice,US,Australia,UK,
Jack Daniel's,Brown-Forman,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,
Jim Beam,Beam Suntory,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,
Wild Turkey,"Austin Nichols, Campari Group",Yes,Yes,No,No,No,No,No,Yes,Yes,No,
