Name,Producer,Sold mixed with,,,,,,Sold in,,,D/C*
,,Cola,Ginger Ale,Lemonade,Citrus,Milk,Stimulant,US,Australia,UK,
The Black Douglas,Black Douglas[citation needed],Yes,Yes,No,No,No,No,No,Yes,No,No
Johnnie Walker,Diageo,Yes,Yes,No,No,No,No,No,Yes,No,No
