Spanish,Portuguese,English
lunes (< Lat. diēs lūnae 'Moon's day'),Segunda-feira ('second fēria'),Monday
martes (< Lat. diēs martis 'Mars' day'),Terça-feira ('third fēria'),Tuesday
miércoles (< Lat. diēs mercuriī 'Mercury's day'),Quarta-feira ('fourth fēria'),Wednesday
jueves (< Lat. diēs iovis 'Jupiter's day'),Quinta-feira ('fifth fēria'),Thursday
"viernes (< Lat. diēs veneris, 'Venus' day')",Sexta-feira ('sixth fēria'),Friday
sábado (< Lat. sabbatum 'Sabbath'),,Saturday
domingo (< Lat. diēs dominica 'Lord's day'),,Sunday
