,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
Interface AbstractView,,,,,,,
DOM2,document,6.0,?,1.0,?,?,1.0
Interface DocumentView,,,,,,,
DOM2,defaultView,No,?,1.0,?,?,1.0
